f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,label
46,1,62,75,28,6,0,101,-64,-10,21,-12,-14,104,-91,-157,-100,-149,2
46,1,62,75,28,6,-3,97,-66,-14,19,-17,-12,105,-89,-157,-99,-147,2
46,1,62,75,28,6,0,101,-64,-10,21,-14,-14,104,-91,-156,-99,-148,2
46,1,62,75,28,6,-3,97,-65,-14,19,-16,-12,104,-88,-157,-99,-147,2
46,1,62,75,28,6,0,100,-63,-11,20,-14,-14,104,-91,-157,-99,-148,2
46,1,62,75,28,6,-3,97,-65,-14,19,-16,-12,105,-88,-157,-99,-147,2
46,1,62,75,28,6,-1,100,-63,-12,19,-15,-14,104,-90,-155,-99,-148,2
46,1,62,75,28,6,-2,98,-63,-14,19,-15,-13,104,-90,-155,-101,-148,2
46,1,62,75,28,6,-4,96,-65,-15,19,-17,-13,105,-90,-156,-101,-148,2
46,1,62,75,28,6,-1,100,-61,-11,22,-12,-13,104,-91,-150,-101,-148,2
46,1,62,75,28,6,-3,96,-63,-15,18,-16,-13,104,-89,-152,-101,-148,2
46,1,62,75,28,6,-1,100,-62,-11,20,-14,-14,104,-90,-152,-102,-150,2
46,1,62,75,28,6,-3,98,-63,-14,20,-15,-12,105,-89,-152,-101,-149,2
46,1,62,75,28,6,-4,96,-64,-15,18,-17,-13,104,-91,-151,-102,-148,2
46,1,62,75,28,6,-1,99,-62,-11,21,-13,-14,104,-90,-151,-102,-150,2
46,1,62,75,28,6,-3,96,-63,-15,19,-17,-13,104,-89,-152,-101,-149,2
46,1,62,75,28,6,0,100,-61,-11,21,-13,-14,104,-91,-151,-101,-149,2
46,1,62,75,28,6,-3,97,-63,-14,19,-15,-13,104,-89,-151,-100,-149,2
46,1,62,75,28,6,-3,96,-63,-15,17,-17,-13,104,-90,-153,-101,-148,2
46,1,62,75,28,6,-1,98,-62,-12,21,-13,-14,104,-90,-154,-101,-150,2
46,1,62,75,28,6,-4,96,-64,-15,19,-16,-13,104,-89,-154,-101,-146,2
46,1,62,75,28,6,-1,100,-62,-11,21,-13,-14,104,-91,-152,-103,-149,2
46,1,62,75,28,6,-3,97,-64,-14,19,-16,-12,105,-88,-149,-102,-148,2
46,1,62,75,28,6,-2,98,-66,-14,19,-17,-14,104,-90,-152,-102,-150,2
46,1,62,75,28,6,-2,99,-66,-12,21,-13,-13,104,-91,-149,-101,-148,2
46,1,62,75,28,6,-4,97,-67,-15,18,-17,-13,104,-89,-151,-102,-148,2
46,1,62,75,28,6,-1,102,-67,-10,22,-13,-14,104,-91,-154,-102,-148,2
46,1,62,75,28,6,-5,99,-69,-15,19,-16,-12,105,-88,-156,-101,-146,2
46,1,62,75,28,6,-2,100,-68,-13,19,-16,-14,104,-90,-155,-100,-147,2
46,1,62,75,28,6,-3,99,-66,-13,20,-14,-13,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-4,98,-68,-15,19,-17,-14,104,-90,-158,-99,-146,2
46,1,62,75,28,6,-2,100,-67,-12,22,-13,-13,104,-91,-159,-99,-146,2
46,1,62,75,28,6,-4,98,-67,-16,19,-17,-14,104,-90,-160,-99,-146,2
46,1,62,75,28,6,-2,101,-67,-10,22,-13,-13,104,-91,-159,-99,-146,2
46,1,62,75,28,6,-4,97,-66,-15,18,-17,-13,104,-90,-159,-98,-145,2
46,1,62,75,28,6,-1,100,-65,-10,22,-13,-14,104,-91,-159,-99,-147,2
46,1,62,75,28,6,-5,98,-69,-15,19,-17,-13,104,-89,-158,-98,-146,2
46,1,62,75,28,6,0,101,-66,-10,21,-13,-13,103,-91,-159,-100,-148,2
46,1,62,75,28,6,-4,99,-68,-14,19,-17,-12,105,-88,-157,-99,-146,2
46,1,62,75,28,6,-1,102,-68,-10,22,-14,-13,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-4,99,-70,-14,19,-16,-12,105,-88,-158,-99,-146,2
46,1,62,75,28,6,-2,101,-67,-12,20,-15,-14,104,-91,-158,-99,-145,2
46,1,62,75,28,6,-3,100,-68,-13,21,-15,-13,104,-89,-159,-100,-146,2
46,1,62,75,28,6,-3,99,-68,-14,18,-17,-14,104,-90,-158,-99,-146,2
46,1,62,75,28,6,-3,99,-68,-12,20,-15,-13,104,-89,-157,-99,-146,2
46,1,62,75,28,6,-4,98,-69,-15,19,-17,-13,104,-90,-158,-99,-147,2
46,1,62,75,28,6,-3,100,-67,-12,21,-13,-13,104,-89,-158,-100,-147,2
46,1,62,75,28,6,-4,98,-67,-15,18,-17,-13,104,-90,-158,-99,-146,2
46,1,62,75,28,6,-2,100,-67,-10,22,-12,-13,104,-91,-159,-100,-147,2
46,1,62,75,28,6,-4,98,-68,-15,19,-17,-13,104,-90,-156,-99,-145,2
46,1,62,75,28,6,0,102,-66,-10,22,-12,-14,104,-91,-160,-100,-149,2
46,1,62,75,28,6,-4,98,-68,-15,19,-16,-13,104,-89,-156,-98,-146,2
46,1,62,75,28,6,0,101,-66,-9,22,-12,-14,104,-91,-157,-100,-148,2
46,1,62,75,28,6,-4,98,-67,-15,19,-16,-12,104,-88,-160,-98,-145,2
46,1,62,75,28,6,0,101,-66,-10,22,-13,-13,104,-91,-157,-99,-146,2
46,1,62,75,28,6,-3,97,-66,-14,20,-16,-12,104,-89,-159,-98,-146,2
46,1,62,75,28,6,-1,100,-65,-11,21,-15,-14,104,-90,-159,-98,-147,2
46,1,62,75,28,6,-3,98,-65,-13,20,-15,-12,104,-88,-158,-99,-147,2
46,1,62,75,28,6,-1,100,-65,-12,20,-15,-13,104,-91,-159,-99,-147,2
46,1,62,75,28,6,-3,98,-66,-14,19,-15,-12,104,-88,-158,-98,-146,2
46,1,62,75,28,6,-2,99,-64,-13,20,-16,-14,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,98,-65,-14,20,-15,-12,105,-89,-159,-99,-146,2
46,1,62,75,28,6,-2,98,-64,-14,19,-17,-13,104,-91,-159,-99,-147,2
46,1,62,75,28,6,-3,98,-66,-13,20,-16,-12,105,-89,-159,-99,-147,2
46,1,62,75,28,6,-2,98,-65,-14,19,-17,-14,104,-91,-158,-98,-147,2
46,1,62,75,28,6,-3,99,-66,-13,20,-14,-12,104,-89,-157,-100,-147,2
46,1,62,75,28,6,-4,97,-67,-15,18,-17,-13,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-3,99,-66,-13,20,-14,-13,104,-90,-157,-99,-147,2
46,1,62,75,28,6,-4,98,-68,-14,19,-18,-14,104,-90,-157,-99,-147,2
46,1,62,75,28,6,-3,99,-66,-12,22,-14,-13,104,-90,-158,-99,-148,2
46,1,62,75,28,6,-5,97,-67,-14,18,-17,-13,104,-90,-159,-99,-147,2
46,1,62,75,28,6,-2,100,-66,-11,21,-13,-13,104,-90,-156,-100,-147,2
46,1,62,75,28,6,-5,98,-68,-15,19,-17,-13,104,-90,-159,-99,-146,2
46,1,62,75,28,6,-1,101,-66,-10,22,-12,-14,104,-90,-157,-99,-147,2
46,1,62,75,28,6,-4,98,-67,-15,19,-17,-13,105,-89,-157,-99,-147,2
46,1,62,75,28,6,-1,102,-65,-10,22,-12,-14,104,-91,-158,-100,-148,2
46,1,62,75,28,6,-4,98,-68,-15,19,-17,-12,104,-89,-159,-100,-147,2
46,1,62,75,28,6,0,102,-65,-10,21,-13,-14,104,-91,-158,-99,-148,2
46,1,62,75,28,6,-3,98,-67,-14,20,-16,-12,104,-88,-158,-99,-146,2
46,1,62,75,28,6,-1,101,-65,-12,21,-15,-14,104,-91,-159,-99,-147,2
46,1,62,75,28,6,-3,98,-67,-14,20,-15,-12,105,-88,-157,-99,-147,2
46,1,62,75,28,6,-1,100,-65,-11,21,-14,-14,104,-91,-157,-99,-148,2
46,1,62,75,28,6,-3,98,-66,-14,20,-16,-12,105,-89,-158,-98,-146,2
46,1,62,75,28,6,-2,99,-65,-13,20,-16,-14,104,-91,-158,-98,-147,2
46,1,62,75,28,6,-3,98,-66,-13,20,-15,-12,105,-88,-161,-99,-147,2
46,1,62,75,28,6,-2,99,-66,-13,19,-16,-14,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-2,98,-66,-14,20,-15,-13,105,-89,-159,-98,-147,2
46,1,62,75,28,6,-2,99,-66,-14,19,-17,-13,104,-91,-159,-98,-147,2
46,1,62,75,28,6,-2,98,-64,-13,20,-15,-13,105,-89,-157,-98,-148,2
46,1,62,75,28,6,-3,97,-66,-15,19,-17,-14,104,-90,-159,-98,-147,2
46,1,62,75,28,6,-2,98,-64,-13,20,-15,-13,104,-89,-159,-98,-147,2
46,1,62,75,28,6,-3,97,-65,-15,19,-17,-13,104,-90,-158,-98,-147,2
46,1,62,75,28,6,-3,99,-66,-13,20,-14,-13,104,-90,-156,-99,-147,2
46,1,62,75,28,6,-5,98,-67,-14,18,-17,-13,104,-90,-162,-98,-147,2
46,1,62,75,28,6,-2,99,-67,-11,21,-13,-13,104,-90,-154,-100,-148,2
46,1,62,75,28,6,-4,99,-68,-16,19,-17,-13,104,-90,-158,-99,-147,2
46,1,62,75,28,6,-2,101,-66,-11,22,-12,-14,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-4,97,-67,-14,19,-17,-13,104,-90,-157,-100,-146,2
46,1,62,75,28,6,-1,102,-65,-10,22,-12,-13,104,-91,-158,-99,-148,2
46,1,62,75,28,6,-4,98,-67,-15,20,-17,-13,104,-89,-156,-100,-148,2
46,1,62,75,28,6,-1,101,-65,-10,22,-13,-14,104,-91,-157,-99,-148,2
46,1,62,75,28,6,-3,97,-66,-15,19,-17,-13,104,-89,-158,-99,-146,2
46,1,62,75,28,6,0,101,-64,-10,22,-13,-14,104,-91,-159,-99,-148,2
46,1,62,75,28,6,-4,98,-66,-14,19,-17,-13,104,-89,-156,-100,-146,2
46,1,62,75,28,6,-1,101,-65,-11,21,-13,-14,104,-91,-160,-98,-148,2
46,1,62,75,28,6,-4,97,-66,-14,19,-16,-12,105,-89,-158,-98,-146,2
46,1,62,75,28,6,0,100,-64,-11,20,-14,-14,104,-91,-158,-99,-149,2
46,1,62,75,28,6,-3,98,-66,-14,19,-15,-12,105,-89,-157,-99,-146,2
46,1,62,75,28,6,-2,101,-66,-12,20,-15,-14,104,-91,-160,-99,-147,2
46,1,62,75,28,6,-3,99,-67,-13,20,-16,-12,105,-89,-157,-99,-146,2
46,1,62,75,28,6,-2,99,-66,-13,20,-16,-14,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,99,-66,-13,20,-15,-13,104,-89,-158,-99,-146,2
46,1,62,75,28,6,-4,99,-67,-16,19,-17,-13,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,99,-65,-13,20,-15,-13,104,-90,-160,-99,-146,2
46,1,62,75,28,6,-5,97,-66,-14,19,-16,-13,104,-90,-154,-100,-148,2
46,1,62,75,28,6,-2,100,-65,-10,22,-12,-13,104,-91,-159,-99,-147,2
46,1,62,75,28,6,-5,98,-66,-15,19,-17,-13,104,-90,-155,-100,-147,2
46,1,62,75,28,6,0,101,-64,-10,22,-12,-14,104,-90,-158,-99,-147,2
46,1,62,75,28,6,-4,97,-66,-15,19,-16,-13,104,-89,-160,-98,-145,2
46,1,62,75,28,6,0,100,-63,-10,22,-12,-13,104,-91,-158,-99,-148,2
46,1,62,75,28,6,-3,97,-65,-15,19,-17,-13,105,-89,-158,-98,-146,2
46,1,62,75,28,6,0,102,-65,-10,22,-13,-14,104,-91,-159,-99,-147,2
46,1,62,75,28,6,-4,98,-66,-15,19,-16,-13,104,-89,-158,-99,-146,2
46,1,62,75,28,6,-1,101,-65,-11,21,-13,-14,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,97,-66,-14,19,-15,-13,105,-89,-158,-98,-146,2
46,1,62,75,28,6,0,102,-65,-11,22,-13,-14,104,-90,-158,-99,-148,2
46,1,62,75,28,6,-3,98,-66,-14,20,-16,-13,105,-89,-159,-98,-146,2
46,1,62,75,28,6,-1,101,-65,-12,21,-14,-14,105,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,98,-67,-15,19,-16,-12,105,-88,-158,-98,-146,2
46,1,62,75,28,6,-1,100,-66,-11,20,-15,-14,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-3,99,-68,-13,20,-16,-13,105,-89,-158,-99,-147,2
46,1,62,75,28,6,-3,99,-68,-14,19,-17,-14,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-3,99,-68,-13,20,-15,-13,104,-89,-157,-98,-147,2
46,1,62,75,28,6,-3,99,-68,-14,19,-17,-14,104,-90,-157,-99,-147,2
46,1,62,75,28,6,-3,99,-68,-13,21,-14,-13,104,-90,-156,-100,-149,2
46,1,62,75,28,6,-4,98,-68,-15,19,-18,-14,104,-90,-159,-99,-146,2
46,1,62,75,28,6,-1,101,-67,-10,22,-12,-14,104,-91,-160,-99,-147,2
46,1,62,75,28,6,-4,97,-67,-15,19,-17,-13,104,-90,-159,-99,-147,2
46,1,62,75,28,6,0,100,-64,-10,22,-12,-14,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-4,97,-66,-15,19,-17,-14,104,-90,-158,-99,-147,2
46,1,62,75,28,6,0,101,-64,-10,22,-12,-14,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-4,98,-67,-15,19,-16,-13,105,-89,-158,-99,-146,2
46,1,62,75,28,6,-1,100,-65,-11,21,-13,-14,104,-90,-157,-100,-148,2
46,1,62,75,28,6,-3,97,-66,-15,19,-16,-12,104,-89,-157,-99,-147,2
46,1,62,75,28,6,0,101,-64,-11,21,-13,-14,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,97,-65,-14,19,-16,-13,105,-89,-158,-99,-147,2
46,1,62,75,28,6,-1,101,-65,-11,21,-14,-14,104,-91,-158,-99,-147,2
46,1,62,75,28,6,-3,97,-64,-14,19,-16,-12,105,-88,-158,-99,-146,2
46,1,62,75,28,6,-2,98,-64,-14,19,-16,-14,104,-91,-156,-99,-147,2
46,1,62,75,28,6,-2,98,-64,-13,20,-15,-13,105,-90,-159,-99,-147,2
46,1,62,75,28,6,-3,98,-65,-14,19,-17,-13,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-2,98,-66,-13,20,-14,-13,104,-90,-154,-99,-147,2
46,1,62,75,28,6,-5,97,-67,-15,19,-17,-14,104,-90,-162,-98,-146,2
46,1,62,75,28,6,-1,100,-65,-10,22,-12,-13,104,-91,-153,-100,-147,2
46,1,62,75,28,6,-4,98,-68,-15,19,-17,-13,104,-90,-158,-100,-148,2
46,1,62,75,28,6,0,101,-67,-10,22,-13,-14,104,-91,-156,-100,-148,2
46,1,62,75,28,6,-3,99,-68,-14,19,-17,-13,105,-89,-157,-99,-147,2
46,1,62,75,28,6,-2,100,-66,-12,21,-16,-14,104,-91,-156,-100,-147,2
46,1,62,75,28,6,-2,99,-67,-13,20,-15,-13,104,-88,-155,-100,-147,2
46,1,62,75,28,6,-3,98,-66,-15,19,-17,-14,104,-91,-155,-100,-147,2
46,1,62,75,28,6,-1,100,-66,-11,21,-13,-13,104,-90,-153,-102,-147,2
46,1,62,75,28,6,-4,97,-66,-16,19,-17,-13,104,-90,-155,-100,-144,2
46,1,62,75,28,6,-1,99,-63,-12,21,-13,-13,104,-91,-157,-101,-146,2
46,1,62,75,28,6,-4,98,-64,-15,19,-16,-12,104,-89,-154,-102,-142,2
46,1,62,75,28,6,-2,99,-63,-14,19,-16,-14,104,-91,-159,-103,-145,2
46,1,62,75,28,6,-3,98,-64,-13,20,-15,-13,104,-90,-152,-101,-144,2
46,1,62,75,28,6,-4,96,-64,-15,19,-17,-13,104,-91,-156,-101,-144,2
46,1,62,75,28,6,-1,100,-63,-11,22,-12,-14,104,-91,-156,-102,-145,2
46,1,62,75,28,6,-3,96,-63,-14,19,-16,-12,105,-88,-155,-103,-144,2
46,1,62,75,28,6,-2,99,-64,-12,20,-15,-13,104,-91,-155,-101,-145,2
46,1,62,75,28,6,-3,99,-66,-14,20,-15,-12,104,-89,-154,-101,-145,2
46,1,62,75,28,6,-4,97,-66,-16,18,-17,-14,104,-90,-155,-101,-145,2
46,1,62,75,28,6,-2,100,-65,-10,22,-12,-14,104,-91,-155,-102,-146,2
46,1,62,75,28,6,-4,97,-68,-15,19,-17,-13,104,-89,-155,-100,-144,2
46,1,62,75,28,6,-1,101,-66,-11,21,-14,-14,104,-91,-156,-102,-146,2
46,1,62,75,28,6,-4,99,-69,-15,19,-15,-13,105,-89,-155,-101,-144,2
46,1,62,75,28,6,-4,98,-68,-14,18,-17,-14,104,-91,-157,-101,-145,2
46,1,62,75,28,6,-2,100,-67,-11,21,-12,-14,104,-90,-157,-101,-145,2
46,1,62,75,28,6,-4,99,-69,-15,19,-17,-13,104,-90,-155,-100,-144,2
46,1,62,75,28,6,-1,101,-66,-10,21,-14,-14,104,-91,-157,-100,-146,2
46,1,62,75,28,6,-3,99,-69,-14,19,-16,-13,105,-89,-157,-99,-144,2
46,1,62,75,28,6,-2,100,-68,-13,19,-16,-14,104,-91,-157,-100,-146,2
46,1,62,75,28,6,-2,99,-67,-13,20,-14,-13,104,-90,-158,-101,-145,2
46,1,62,75,28,6,-4,98,-67,-15,19,-17,-13,104,-90,-158,-100,-144,2
46,1,62,75,28,6,0,101,-65,-9,22,-12,-14,104,-91,-158,-100,-146,2
46,1,62,75,28,6,-3,98,-66,-14,19,-16,-12,105,-89,-157,-100,-145,2
46,1,62,75,28,6,-2,100,-66,-13,20,-16,-14,104,-90,-161,-100,-144,2
46,1,62,75,28,6,-1,99,-66,-12,20,-15,-13,104,-89,-156,-101,-146,2
46,1,62,75,28,6,-4,97,-65,-16,18,-17,-14,104,-91,-158,-100,-144,2
46,1,62,75,28,6,-2,99,-64,-11,21,-13,-14,104,-90,-157,-99,-146,2
46,1,62,75,28,6,-3,98,-65,-14,19,-16,-13,105,-89,-159,-101,-145,2
46,1,62,75,28,6,0,100,-63,-9,22,-12,-13,104,-91,-156,-99,-144,2
46,1,62,75,28,6,-4,97,-64,-15,19,-17,-13,105,-89,-160,-101,-145,2
46,1,62,75,28,6,-1,100,-64,-12,20,-15,-14,104,-91,-155,-100,-147,2
46,1,62,75,28,6,-3,99,-66,-14,20,-15,-12,105,-89,-157,-100,-145,2
46,1,62,75,28,6,-4,97,-67,-15,19,-17,-13,104,-90,-155,-101,-146,2
46,1,62,75,28,6,-1,100,-65,-10,22,-12,-14,104,-91,-153,-101,-147,2
46,1,62,75,28,6,-4,97,-67,-15,19,-17,-13,105,-89,-154,-100,-146,2
46,1,62,75,28,6,-1,101,-66,-12,20,-15,-14,104,-91,-155,-101,-146,2
46,1,62,75,28,6,-3,99,-66,-12,20,-15,-13,104,-90,-153,-101,-146,2
46,1,62,75,28,6,-4,98,-66,-15,20,-16,-13,104,-90,-155,-101,-145,2
46,1,62,75,28,6,-2,98,-64,-11,21,-13,-13,104,-90,-153,-101,-147,2
46,1,62,75,28,6,-4,97,-65,-15,19,-17,-13,104,-90,-153,-102,-146,2
46,1,62,75,28,6,0,100,-63,-10,21,-13,-14,104,-92,-152,-102,-148,2
46,1,62,75,28,6,-3,97,-65,-14,19,-17,-12,104,-89,-153,-101,-146,2
46,1,62,75,28,6,-2,98,-64,-14,20,-17,-14,104,-91,-154,-101,-147,2
46,1,62,75,28,6,-2,98,-63,-12,21,-14,-13,104,-90,-154,-101,-148,2
46,1,62,75,28,6,-4,97,-64,-15,19,-17,-13,104,-90,-154,-101,-147,2
46,1,62,75,28,6,0,100,-63,-10,21,-12,-14,104,-92,-154,-101,-148,2
46,1,62,75,28,6,-3,97,-65,-14,19,-16,-12,105,-89,-153,-101,-146,2
46,1,62,75,28,6,-2,99,-64,-13,20,-16,-14,104,-91,-154,-101,-147,2
46,1,62,75,28,6,-3,98,-66,-13,20,-15,-13,104,-89,-154,-100,-147,2
46,1,62,75,28,6,-4,97,-66,-15,19,-17,-13,104,-90,-153,-102,-149,2
28,1,58,55,22,0,-15,119,-93,-493,-516,-616,-33,268,-82,-166,-85,-165,0
46,1,62,75,28,6,-1,100,-65,-10,22,-12,-14,104,-91,-155,-101,-147,2
46,1,62,75,28,6,-3,98,-67,-14,19,-17,-13,105,-89,-153,-101,-146,2
46,1,62,75,28,6,-3,97,-65,-14,19,-17,-13,104,-89,-153,-101,-146,2
46,1,62,75,28,6,-1,98,-64,-13,19,-16,-14,104,-91,-153,-101,-147,2
46,1,62,75,28,6,-2,98,-64,-13,20,-14,-13,104,-90,-154,-100,-146,2
46,1,62,75,28,6,-3,96,-64,-15,19,-17,-13,104,-90,-154,-100,-148,2
28,1,58,55,22,0,19,66,-125,-491,-516,-614,26,109,-138,-171,-96,-172,0
46,1,62,75,28,6,-3,97,-67,-15,19,-18,-12,104,-89,-152,-101,-148,2
46,1,62,75,28,6,-2,100,-65,-12,20,-15,-14,104,-91,-155,-100,-146,2
46,1,62,75,28,6,-3,98,-67,-14,20,-15,-13,104,-89,-153,-100,-147,2
46,1,62,75,28,6,-3,98,-67,-15,19,-18,-14,104,-90,-154,-101,-148,2
28,1,58,55,22,0,-25,122,-129,-493,-516,-616,28,119,-142,-173,-79,-165,0
46,1,62,75,28,6,-1,100,-66,-10,22,-13,-14,104,-91,-154,-101,-148,2
46,1,62,75,28,6,-4,98,-67,-15,19,-17,-13,104,-89,-154,-101,-146,2
46,1,62,75,28,6,-1,100,-64,-10,21,-13,-14,104,-91,-154,-101,-148,2
46,1,62,75,28,6,-1,101,-65,-10,22,-13,-14,104,-91,-155,-101,-147,2
46,1,62,75,28,6,-4,97,-67,-15,18,-17,-12,104,-89,-152,-101,-146,2
46,1,62,75,28,6,-1,100,-65,-12,20,-15,-14,104,-91,-154,-102,-147,2
